Accession,110714_yeast_ups1_2fmol_r1,110714_yeast_ups1_2fmol_r2,110714_yeast_ups1_2fmol_r3,110714_yeast_ups1_4fmol_r2,110714_yeast_ups1_4fmol_r3,110714_yeast_ups1_4fmol_r4,110616_yeast_ups_10fmol,110616_yeast_ups_10fmol_r2,110616_yeast_ups_10fmol_r3,110618_yeast_ups_25fmol_r1,110618_yeast_ups_25fmol_r2,110618_yeast_ups_25fmol_r3,110618_yeast_ups_50fmol_r1,110618_yeast_ups_50fmol_r2,110618_yeast_ups_50fmol_r3
P23254,"975131,8357","807553,9777","656168,821","990679,3927","1038929,316","870764,8447","495954,1357","347517,4955","280584,5054","395261,0454","319641,6694","486975,937","493086,5456","327568,3621","369572,4623"
P23638,"460332,9735","400619,0172","311135,7372","477058,7881","499869,0819","444260,7683","214066,299","144910,4529","153020,1645","205553,0068","149689,9277","179553,4587","230051,9042","152262,5364","187890,4851"
P26781,"3416346,402","3120658,677","2614844,516","3700494,045","4001222,079","3375067,669","1670855,412","1106763,912","980229,7986","1165500,385","870977,5336","1091551,091","996489,5517","734963,6146","894096,8966"
P26783,"1400011,206","1159597,921","1046274,141","1407296,995","1436952,549","1354878,346","884079,1284","553104,2327","341131,3945","505225,118","456775,2708","624986,4295","569749,7335","358377,3752","445811,6158"
P32599,"476501,2488","399867,0716","350715,4906","466497,5993","526978,0272","423063,5342","223534,5307","160566,289","135045,8793","168056,4518","125941,491","173232,8625","204048,0455","149966,1509","181829,6034"
P32891,"790226,4272","692181,3901","601265,8735","863323,9638","932115,4337","784132,8761","450413,9821","293103,2499","155614,5104","285871,4114","261268,5023","369685,4699","314679,8418","240444,6963","308687,3251"
P34216,"146826,0026","131762,387","115100,4875","156783,1816","198741,8954","127833,2037","57786,22654","37581,86489","32082,34572","43140,81507","29414,71249","46540,72984","32870,32708","26877,90307","33978,31081"
P34760,"2263936,847","1843733,229","1700811,517","2275396,516","2407696,565","2167260,778","1723801,154","884893,7492","611006,7993","931882,0148","749721,3141","1239599,512","1147450,571","813343,5638","1259176,356"
P35691,"1460394,11","1330400,34","1102649,342","1548542,404","1719374,974","1352783,446","729531,4855","502545,0802","444901,1479","510753,6251","399512,47","516822,4196","427491,0939","339675,3803","413689,6646"
P36010,"2238543,395","2073969,498","1692945,066","2425840,434","2728875,868","2130388,604","1241863,43","913290,0495","742208,502","1067371,012","867381,0944","1105081,556","996088,1414","733370,9733","818092,4959"
P36139,"507953,2645","446035,1437","363046,1404","561655,0044","602493,5752","475223,8715","279132,7959","194942,106","160346,6523","205333,2394","170929,938","220125,0345","187452,4713","154894,2572","186993,0144"
P37012,"408004,9094","372761,5676","303331,9054","423264,9988","493690,8914","394356,0863","204938,5722","156780,23","131169,657","166788,6984","123585,5053","180978,3576","169264,8738","118115,5184","162158,8034"
P38011,"1696388,479","1464264,492","1197589,129","1718896,936","1942804,022","1686272,213","958687,7075","691109,4378","499686,9856","672729,0438","522810,8474","708581,0862","601624,0277","434347,032","631051,1956"
P38715,"553465,9727","529314,5384","432581,6428","615672,4592","704506,5905","545756,2076","256527,7369","185414,0617","129237,3241","197570,7948","156254,1172","205591,0716","187055,388","119479,8584","167372,0932"
P38720,"458366,9969","381732,8991","329239,5764","487461,361","560450,603","416562,0949","305592,7832","184706,7849","127232,3248","187259,9439","159343,4677","263903,9103","243381,6541","167726,172","267085,8218"
P38788,"361733,5445","335569,518","279413,8493","405819,1621","456915,4108","331471,6856","207704,9917","139564,3596","86942,73559","173656,6081","144800,5082","198369,505","202179,4273","123731,7696","181305,3637"
P39015,"824250,6968","712650,9166","590705,064","764293,6255","837481,3354","800040,4347","345414,2908","297646,0272","240813,9427","290135,6319","202824,4126","253532,0352","220236,254","195866,4946","241330,9327"
P40213,"1440935,936","1033420,203","885705,6895","1346985,881","1650114,814","1446546,565","903774,7752","577130,7435","465622,6568","697683,4493","591386,8931","873134,9386","782366,5263","566781,6251","806966,2402"
P40302,"407434,383","379210,1088","283560,9661","398991,8928","531053,5178","385401,0648","228457,1392","139120,594","117472,734","142537,4229","126822,487","167379,8739","171358,1059","104374,4532","124223,9993"
P40495,"250153,8898","257017,6453","189340,4525","277295,1132","356666,2699","240351,4442","121780,7169","82096,87896","58274,59354","84082,11414","73344,83092","100412,4339","98897,16636","66686,61577","80913,53689"
P40893,"247409,8703","208806,4395","169876,0783","253741,5584","259452,5972","212333,2783","149711,8785","108656,8583","93386,0321","100501,5113","69449,2719","106776,9201","131681,8412","83274,64205","116672,7028"
P41810,"127577,4124","118145,2782","100186,6964","139464,196","151395,4854","142424,17","63558,58449","39975,43751","29473,24426","49227,17922","40983,79331","60877,31458","79742,7196","49494,52517","65752,93391"
P48015,"428427,0971","394426,3867","327097,3834","470833,6918","515337,4169","459403,57","275228,3764","195108,9217","183566,3679","188228,2893","136133,6776","184125,2699","154273,9691","128512,4652","155232,7914"
P53849,"300883,6386","285020,7338","227210,0042","333213,3399","338661,034","310921,5038","128822,8271","103604,8447","68252,93916","96777,83211","64755,18692","83984,87281","73237,90687","60786,77054","71118,3541"
Q01939,"321181,0576","284932,3292","232229,7255","340182,1564","417545,2899","314155,4829","189032,7053","116412,2432","73780,71379","115113,9728","106650,5177","153236,6694","142322,6386","92672,30109","117416,8226"
Q04062,"226406,172","178283,8704","171767,1007","232160,4796","242345,7678","204859,9873","149839,0083","97458,2929","73224,46774","88969,59919","75526,98879","112091,4884","99696,22286","63628,35207","84386,81763"
Q12305,"1468387,871","1330815,28","1144102,871","1670650,419","1874469,543","1411553,345","807158,6118","549539,9577","468456,1289","543033,4566","475738,0114","667920,6155","612548,8529","437143,0999","509285,9242"
A6ZRW3,"210801,5724","171697,4915","144068,3898","216864,3334","231502,7184","195737,6342","148980,8525","79897,49446","66055,43569","89135,39151","74850,76894","108525,2739","94082,04919","68498,47442","84301,83377"
P00128,"722676,0514","665764,1375","539221,0876","794169,0535","829816,2723","708729,7525","489201,6303","295807,1571","333608,7736","387323,9349","257397,5275","308998,569","304975,4145","240436,4553","361067,9555"
P02406,"1929894,498","1738382,554","1561294,255","2038275,144","2431950,976","1728747,83","1126870,759","782183,5126","475618,5098","742078,3352","688601,268","919732,2673","800021,2327","577787,1808","672778,6125"
P04046,"240747,4175","234746,645","190460,3059","262418,502","245745,7806","196476,4927","113980,8999","89104,80038","66427,46226","90701,66219","72263,09374","101746,6395","91817,16614","79807,81808","113675,9667"
P05736,"1301823,483","1166547,347","1006059,103","1372554,634","1546234,248","1363567,551","776593,6217","537752,7638","493839,893","523215,8488","389034,3937","562549,848","445428,9464","402110,7901","515246,8957"
P07284,"393426,7149","350053,387","319130,9866","422352,1265","510963,4253","371058,5002","204279,9316","141317,6258","80568,48674","154610,874","128418,4853","185955,6048","168860,1419","119075,8857","156753,3074"
P07560,"648159,0287","586437,2034","473230,4117","663026,0198","722245,2092","644523,9991","271278,5702","218726,2877","131948,4858","212913,145","154834,2501","212001,3971","200164,417","144264,7016","191675,0498"
P17079,"2295294,881","1975206,87","1700756,841","2303111,858","2618702,893","2195327,494","1387998,92","773164,2226","832535,943","943763,9607","645189,7077","847634,2514","775280,4425","586896,9943","782769,6392"
P21954,"614454,6198","554538,5255","498165,361","684177,9657","745350,8826","639044,9878","317349,4173","195151,5681","175547,5959","182485,3033","143324,923","199801,0141","168992,8148","145777,3794","166318,3378"
P22146,"595111,0447","575233,1089","482191,5046","671273,2989","759517,6657","543536,9158","276925,3773","217435,5036","134210,4144","180682,3876","161571,9199","235037,9974","172979,6083","137931,1969","205961,8401"
P23301,"1332201,311","906869,9456","827793,154","1680436,429","2136450,324","1356490,265","719566,5239","468679,7661","155889,0624","603530,7914","570917,0968","812518,9876","814710,0254","510247,84","736613,9178"
P25294,"378065,7194","264491,7619","226941,6805","323296,7151","428328,6689","298607,4877","160102,5439","120854,5026","64270,53353","134828,2841","108753,7403","171725,7032","201821,8874","106163,4929","196122,231"
P26782,"1254500,13","1138818,478","923869,6284","1249816,081","1325841,218","1173492,866","840068,9254","618497,7767","485199,6177","611878,0332","490304,1017","660891,3919","616856,4227","461358,8867","627618,0329"
P27796,"217238,836","203421,6713","152271,4543","232010,1303","285476,4013","256631,101","132284,3933","88156,69525","97186,06311","124442,6815","113871,353","200165,7649","265275,6367","163199,262","230106,1673"
P28241,"903553,2737","809883,2543","649299,7359","956835,3163","1059949,292","899610,4036","662786,9808","401548,0598","387053,7576","410342,1073","314427,3831","405075,0908","391407,9506","282938,3519","346758,7912"
P29952,"324191,5537","280310,7717","253320,7988","346007,4225","393282,8389","331467,7857","159308,9014","102364,613","84114,5478","87194,1853","73480,30195","101860,6716","96376,06049","72416,52729","102134,5437"
P30822,"158786,8335","163764,8149","137821,4729","168438,2483","260582,347","181205,4679","78135,95599","56437,15391","35803,1326","52419,09032","88057,71935","77798,60531","90241,92753","42276,11919","82052,72476"
P31373,"578319,9749","503606,5476","419786,345","607692,4718","708027,1356","569269,9659","316974,1146","222888,0518","163056,8769","265966,0371","229256,5144","336474,2173","376240,441","239710,6901","291301,6496"
P33299,"256667,1372","240822,1081","203414,5655","278857,73","325601,7191","251099,3578","138193,8402","97961,17942","73970,90445","98868,83923","80492,82658","114654,9178","94658,15967","76471,38558","101206,2515"
P34227,"1019165,704","916061,661","803146,3814","1062585,671","1264852,806","1003638,381","567199,3372","385688,8357","299629,7017","411249,2935","345992,2531","468525,3568","401997,4375","297912,8488","370797,2292"
P37292,"269690,7316","247518,6181","188432,6412","297200,33","343422,8005","283844,958","149636,3864","92686,09917","71421,14714","87178,81215","68902,72872","100445,8115","100172,9764","66797,38758","82726,97531"
P38071,"706428,1242","614618,8012","528716,7349","747433,2115","972141,0941","703926,7898","422259,2428","288214,6449","214024,3769","392732,6185","304089,7122","440388,8391","510189,9344","327481,9299","400688,3257"
P38137,"381527,4807","313952,0057","280380,4242","387142,8388","419242,7815","389582,3706","240088,9742","179360,5529","174928,6198","189732,2014","129426,9927","181523,231","167541,5138","131175,3122","147569,2994"
P38249,"95185,2498","78735,316","74909,81383","111177,3776","131712,5926","83796,97026","61262,98114","41264,29939","18642,60475","53534,35626","46785,65553","79835,20366","82246,45487","45915,54486","57872,03843"
P41338,"676245,2673","635077,1496","544846,041","705482,1632","780336,7271","633747,4998","396094,977","233895,8038","197157,2651","216867,5449","177992,2747","238495,9802","202440,7421","157461,2443","198215,651"
P43616,"375647,5175","326294,7387","286732,5424","380496,1527","450115,089","328587,5957","264972,3819","168724,675","86205,33518","180179,7116","163460,3591","227519,8232","216946,9147","132865,5027","155117,2915"
P47079,"211337,6197","158226,3586","160711,2709","234036,0928","226946,1787","166819,2722","87622,497","50882,70449","34495,89864","52542,21966","49039,46177","67684,09713","52478,89059","36897,99274","47455,49278"
P53030,"1814560,579","1613881,176","1340479,754","1893167,448","2143455,524","1686460,986","892571,6256","660445,6059","711852,0304","862994,2822","652309,0897","770314,3177","767745,0995","584286,3591","680440,6968"
P54783,"167805,2784","149115,3706","133790,2554","187223,5153","220350,3718","159440,0542","92540,43627","60048,45522","42007,48175","67214,81139","58239,53958","90256,52518","78074,83576","47428,53224","68969,75421"
Q03104,"377463,6917","328099,0891","282984,9149","387766,5748","409754,9636","325798,3321","214496,1023","154083,3365","122034,4078","157571,6692","118320,0436","178022,6897","162971,4511","121903,8827","170578,4198"
Q08822,"102759,8276","88630,5117","71104,71855","112130,1864","125585,1367","102274,3816","39379,45609","26413,12215","27112,53716","28627,37225","19099,88902","26146,15733","21169,50578","18709,18147","21348,00191"
Q12031,"143917,0797","97886,99811","91614,56394","135725,1102","178504,7338","122490,8583","76311,15494","49598,66374","32083,00531","67713,6057","55269,21464","73254,00127","90360,80207","57123,71453","78116,51499"
Q15843ups,"146709,8393","128700,4557","100621,3382","143201,6912","136744,5425","263884,5736","316458,1943","317504,1964","285214,4325","902247,2901","631156,9644","845452,8406","1533177,984","975357,84","1030330,432"
A6ZT99,"574737,3708","472923,3576","424806,6002","635992,295","743955,0926","557884,466","400414,5776","246867,3257","148186,9703","247800,3956","228155,2585","363660,8009","302309,9717","228731,2251","271340,6047"
P00410,"290734,2734","201092,2744","182538,763","297861,2037","330957,5209","289270,4471","190763,8082","94943,394","69415,44816","120081,6692","117679,8993","176059,5153","181743,8208","107100,1433","148670,1098"
P00915ups,"306082,9948","279078,954","237873,8348","445724,5991","340916,7862","720831,9385","790444,9745","563121,6658","357661,4507","1503943,192","1353334,336","1889753,045","2896843,712","1585123,917","1736681,946"
P01123,"282918,4276","304976,592","255564,647","343667,5089","408287,5413","365597,2392","162921,4295","112780,6274","85816,39186","117480,1762","86699,42969","133376,4478","112280,8789","88956,62589","114721,557"
P01375ups,"300121,9491","307831,6384","261583,9686","468810,6271","363233,5019","665661,5456","652696,909","417590,9255","459877,8019","1135972,457","885895,4142","1178867,984","1938885,557","1268982,752","1200810,497"
P02557,"304284,386","285847,4169","248509,9854","328823,3079","383912,1319","304741,2864","164643,0828","112802,0247","71908,15006","129784,2315","108122,72","146145,4995","182145,8132","96618,67171","124028,5811"
P04037,"1207840,758","912751,8701","899189,392","1264882,398","1590685,227","1086966,999","846524,5017","510718,61","259839,6775","620643,4191","570070,2479","856824,5277","738823,8601","479525,271","671595,3902"
P05626,"1384810,69","1127197,749","955516,362","1339942,038","1706252,938","1209591,509","902852,6122","549440,9414","338086,569","571639,1632","522965,7972","830528,3827","760103,0505","463907,496","624982,665"
P05735,"2563755,303","2247387,915","1862522,421","2610337,841","2980980,703","2520522,68","1353405,57","923586,1619","810258,0359","913886,9045","720577,0098","941266,2827","837785,1489","599992,6466","769002,7443"
P05756,"1624858,643","1547571,248","1456387,076","1700936,519","1967982,143","1529405,499","1113695,869","711540,9035","484206,7217","624386,8584","573523,9043","853326,3754","678414,7708","504385,0492","584358,1237"
P07267,"2703151,348","2497960,148","1961162,727","2611118,888","2636953,837","2655356,151","1759797,284","1151345,502","1266959,26","1304548,147","909799,2948","944101,4247","856465,6231","662409,4173","765982,9614"
P07279,"2152814,866","1853248,319","1584959,647","2263414,811","2455140,739","2063032,078","1282964,583","816739,3732","738353,2219","820622,4427","679780,2675","886197,6251","766584,0096","546368,6353","685584,5141"
P07283,"288179,6014","304570,2859","254516,2332","351603,2127","359503,0551","317942,0783","156142,6019","107477,7141","82580,59244","103346,5791","76446,72206","111419,0177","86472,22122","72553,00672","81141,33922"
P10592,"1258330,917","1183661,008","1014586,753","1418199,17","1648430,646","1107972,587","651673,4011","495592,7267","330281,5698","570466,5606","467670,3071","655593,152","621528,2181","403684,4609","508106,2339"
P12695,"1238487,858","1224028,509","1001242,842","1405947,123","1545209,209","1281797,382","846884,4073","534901,7756","401514,0017","491502,5327","407012,2624","578651,9112","492840,117","366094,1455","456747,4893"
P14742,"235416,6871","214406,973","173282,0266","240335,3197","282358,4855","243566,4073","123580,6651","84331,58681","99891,97875","102298,8903","66788,04268","87883,44398","74065,83422","56819,50117","74157,85258"
P14904,"339315,3006","321475,4478","279535,1423","368089,9204","412087,9833","315783,1276","159163,5138","125308,2439","108322,2683","138860,4986","110287,1327","145297,2311","131954,2655","95512,97625","111299,0272"
P15108,"1540541,35","1158781,007","1040715,288","1458197,614","1580980,879","1385131,253","878339,7093","589565,561","558427,8891","625807,8833","476521,0031","738474,0926","726939,7975","466624,0985","625821,4168"
P15303,"125197,0137","158651,5667","105526,5341","167155,1133","221200,6633","139069,3275","67412,33459","57515,45963","43950,92396","69681,01064","43866,91864","51332,63114","53225,05362","37629,1894","53871,90376"
P16649,"145779,0009","133757,2826","119963,267","165557,2739","163450,9484","136021,3025","73421,2836","46491,83069","36020,91005","42188,92982","33785,1147","44918,90986","40362,21675","30852,68487","33756,4056"
P20081,"1704455,164","1478563,042","1240485,631","1993276,646","2225778,253","1774050,497","1215962,894","802793,5118","599600,902","936639,3543","760777,3503","945451,5057","884511,8608","611094,0738","743236,5467"
P22768,"330896,8877","291808,4414","251264,2799","340615,9127","374966,6699","295712,4104","165596,271","105836,7274","80286,56025","102786,6632","86296,88133","105775,6261","85770,6632","64716,54519","79552,50379"
P25443,"1272741,272","1072396,228","858652,1004","1416350,862","1553815,169","1381283,816","768090,4813","548162,3654","347774,7541","460971,6146","358108,2698","504595,1073","432401,9832","314564,1417","430084,257"
P26321,"1281574,443","1107440,855","963514,6818","1333409,374","1419200,361","1224490,248","687956,2858","448997,2376","364954,7257","470368,2123","322664,8241","392194,6644","373846,8981","300370,3545","384591,4458"
P30902,"1331531,259","1231338,776","1102395,175","1421820,297","1658318,048","1244939,507","646015,4726","435697,8362","400610,3637","473068,3887","406470,2516","553761,8727","490547,5011","324407,6675","453675,9193"
P32481,"281923,4454","279195,6415","243593,3691","319273,7286","372685,154","276959,4713","141358,4168","100032,3808","65398,6994","96702,10437","86164,07656","134570,6637","100039,5671","75184,60368","88908,96799"
P32527,"175712,7086","159697,8729","127747,9054","181051,5803","216185,0826","177244,1724","90273,43631","58054,26299","58818,34393","74508,15896","54803,55628","69121,27301","70827,11484","44143,08336","51619,59659"
P32861,"692869,7892","619602,478","500387,5557","763216,3169","823467,8059","684472,4094","297871,0113","222935,6004","178394,1701","264438,5204","209965,5626","263816,9728","276281,5475","191676,7987","271033,8784"
P33303,"607767,0593","648206,3355","496477,4882","745001,569","815377,9814","625643,2548","277163,3254","188873,0522","142989,1512","204208,6635","154243,1556","209820,8701","190460,7725","160230,1403","188856,0291"
P33892,"41963,86107","27316,08543","24552,52813","35639,96376","44134,93272","33248,1661","52481,41008","36455,4402","13995,72119","64116,44404","65912,90613","95373,04472","150785,0227","82635,03483","111361,7953"
P35719,"401181,3442","447632,0394","425331,3785","552708,3365","631126,0513","465935,6381","278358,6681","175966,9396","139608,2274","171397,8323","138084,6975","183669,9024","163889,13","117770,3633","166950,4625"
P36008,"716098,6139","602852,9227","518848,8578","731724,1659","807116,1795","731943,4357","396571,306","285361,7214","230498,1474","293149,694","243560,5713","314164,9261","295461,3336","223014,8065","262948,5321"
P36015,"203878,5838","176763,9456","147733,3831","203744,0396","244431,4907","179503,5325","121975,778","88680,14263","67441,70367","79813,96906","63724,49935","87985,78585","84403,75025","65956,00332","85170,04065"
P36112,"157735,7584","147644,2027","123103,1348","186175,8919","197192,625","144934,0378","68048,31299","50195,35677","42280,78877","58382,20168","45089,14816","65792,66558","62972,28111","38675,74608","48591,08725"
P38115,"272821,3963","200565,9136","180003,4015","257984,7517","296912,722","254961,7651","195202,308","96506,02175","98120,79485","123954,7602","93848,5892","131110,0977","151082,866","97739,55894","131447,9717"
P38219,"153107,593","131784,3689","109353,3557","144478,3104","161245,2475","135577,3983","74725,85359","39308,93004","35891,04989","40461,22009","32501,82349","56137,0127","56857,50209","33787,23974","52250,39573"
P38230,"208593,7838","202646,1239","146198,7687","225880,8791","268317,6713","200237,7611","95535,8983","86644,60045","62947,84952","75702,40747","58264,78391","80200,03624","67239,58678","58631,33596","99988,19806"
P38616,"1684674,688","1511389,2","1266020,708","1823852,143","1994967,111","1710464,814","704434,1935","569202,6428","411520,8791","515220,5145","366292,0409","505215,9273","438114,6909","380690,131","507168,8369"
P38999,"186408,5313","165568,1253","132472,7414","186555,2345","236554,6418","178149,95","68251,79919","48770,87147","47772,18354","43155,47798","31114,97988","41297,60652","35736,41777","32747,84433","39215,60437"
P39077,"172228,8301","158559,4606","139557,2433","199898,9856","218394,2893","167749,8789","71694,90626","58404,57361","54192,62153","69235,7767","56018,46991","73675,03525","60945,41233","46256,80283","55869,46771"
P39730,"233093,6663","200639,9591","177753,4502","219497,7376","261415,2892","223070,9529","92871,77212","61933,01342","53567,64101","54401,05118","45779,45216","59892,69869","62093,56775","47386,99398","64365,62681"
P39741,"927321,7019","790141,8195","658118,3177","999855,4735","1082989,484","894461,7614","676782,1742","432834,0637","353322,394","482624,8687","377267,8462","536110,5412","465472,7898","319835,3766","440762,4951"
P40850,"78866,86669","75921,67147","59020,16233","84033,07934","97438,64742","72793,2075","35111,70039","22804,66438","25187,98641","21327,96212","16786,107","23054,74731","20043,09453","14619,64458","19046,57476"
P43635,"245282,146","176861,9592","153841,2384","233147,8778","287509,6056","208449,0615","198591,2357","109788,0476","55869,73113","120612,0751","104277,3574","190362,6677","208027,562","137544,598","173350,4722"
P46672,"615943,0914","467757,2673","394198,3506","601236,5909","621269,337","541695,6571","365658,8726","253468,1265","166602,8385","285710,782","229579,9896","379968,2669","399646,3534","253894,3013","322418,6923"
P48589,"1662462,279","1452435,483","1252006,035","1834544,995","2079146,591","1671586,746","922652,5223","561816,1224","348508,4304","551547,0536","428213,4623","634357,9221","609755,5668","400444,9228","482550,6573"
P54113,"339818,0896","271918,6851","207562,1814","321935,4827","359729,9345","269149,6677","159030,5466","98311,28269","93500,12003","102157,5205","72649,70304","94928,7549","89732,06226","69791,31507","87995,93002"
P54839,"521657,4979","452121,2724","392616,2475","552099,3102","568839,8189","461444,6203","308720,8265","194787,8065","157529,0985","246617,9309","172324,375","258228,6146","262699,8232","172244,6734","276292,3128"
Q00055,"778687,1254","717376,7618","626421,0609","887285,1253","968889,0422","816285,3936","518457,6064","336394,9799","304355,8473","387370,6012","282438,3619","371209,0634","329208,8492","259403,782","283961,6088"
Q02486,"484928,118","370099,9006","344694,4946","500751,0272","457017,4312","429573,9688","213285,7104","158426,4312","112029,4508","127169,1051","88339,53808","125684,2604","110964,9397","86343,75257","110234,4691"
Q04458,"270270,8842","234268,126","197864,0082","284124,4448","306590,2423","276199,0943","152942,2869","97632,07472","105171,0836","107711,6791","75976,21778","103209,0485","83133,20736","70469,60452","84992,66746"
Q04947,"1056688,272","1000866,671","826486,8286","1148406,925","1193242,717","1063060,179","536461,995","427792,3587","320421,6395","528799,5351","432116,6926","593845,8821","664484,9727","487217,5226","530669,1339"
Q06151,"131700,3872","112559,6331","101747,0002","157780,5119","180171,2732","134391,7423","100629,4983","66242,60923","43766,87188","83337,58632","78034,67053","131726,0978","123180,7692","79827,87711","94199,18488"
Q08977,"477595,5433","464745,7365","410652,2861","582971,2951","598029,4251","505883,3588","251326,4479","153433,288","165408,5851","175106,263","134951,0373","171065,171","145691,9695","108127,8646","126485,1473"
A6ZNQ1,"699505,4946","595004,0032","534149,33","661599,9042","816476,8989","562041,7266","272222,6197","199073,9459","102214,32","207787,0517","191747,9487","250148,3366","231422,7368","164148,3593","228230,2768"
A6ZNU5,"195130,7735","158819,3243","138190,5356","233848,1645","255834,547","218292,505","149708,0992","88793,94402","66346,41785","113685,964","107096,1608","178606,1526","178284,9445","110934,5775","156685,0924"
P00044,"1287879,448","1274068,831","1042678,768","1576137,379","1655916,439","1392360,807","749875,7831","506130,9087","457955,1947","506410,7634","349013,7901","474962,9975","393419,0554","312679,7977","352239,7726"
P00817,"1301672,201","1162224,479","1054063,027","1482161,551","1769885,358","1311601,379","964420,7099","586922,4113","457969,4995","575277,5473","528138,8584","836354,2441","630373,6349","499713,7841","658116,8692"
P00924,"1146441,376","1086702,362","899642,2317","1152312,657","1369798,509","1066053,697","692258,4412","467246,5801","413781,5292","479821,7752","395958,1559","556009,4333","535507,0864","336723,7806","442472,5926"
P01133ups,"229909,6008","169990,0955","160396,3862","312323,0688","271744,2707","533709,3976","834653,6626","695457,3736","464414,2038","1968361,164","1673729,134","2633454,312","3272015,725","1940998,017","2078708,74"
P04050,"46501,67435","37915,96946","29715,02367","44015,07084","48778,44339","41834,34214","17102,97163","14080,71333","6141,444557","11968,32189","11994,85903","14344,09086","10389,81967","8759,265752","8890,085421"
P04456,"1586679,654","1537464,914","1278897,298","1743568,612","2036296,118","1469192,379","760103,3782","524528,1098","480160,6028","619355,5775","487994,6208","626889,7899","504471,9371","393465,1764","457882,1221"
P04807,"864549,9344","871546,9716","732876,7339","1043936,416","1128872,561","846373,0458","547879,3999","441945,2358","342403,3888","411949,1252","346362,9331","475918,3068","399694,269","310587,5002","366876,8155"
P05373,"296502,5975","277187,0917","228476,0935","342414,7642","338583,7364","287641,2754","156389,8534","83331,82818","109960,057","122371,4221","83140,71591","91532,4459","77155,5246","56600,37971","73879,92166"
P05754,"1668099,175","1247958,286","1124127,13","1557631,201","1874732,793","1451752,532","864969,7221","550779,2252","411294,6044","605840,9334","612869,3679","918597,4275","839343,7477","548660,802","745862,4931"
P06101,"162176,0344","147871,0986","125731,2894","163628,6985","192069,6305","147634,7132","92403,01558","54702,09264","40854,00068","49199,28094","49182,31375","81554,21537","76778,51138","45338,00416","65355,7908"
P07143,"823270,4871","684778,8599","569275,2515","894133,0618","1020008,398","861958,4618","529266,861","357609,5792","145008,3955","353158,4485","345428,1576","543898,7881","524246,9699","318365,9455","442538,7404"
P07278,"216849,9485","185147,9915","163741,6701","225691,2502","246393,9644","200356,4336","111621,9542","69797,50446","60819,92887","65222,10076","53766,13301","73577,6105","58120,75556","53227,58801","56543,8421"
P10080,"656511,9614","614874,9765","491225,9241","669700,6403","739602,3424","608105,9356","287682,5252","205250,9025","178625,187","246610,5391","165586,3797","216255,1734","163456,2435","151617,5915","167652,4091"
P12612,"134569,866","127904,9878","123953,1915","153360,7401","218322,2952","140463,4844","72547,49918","41513,90455","31861,41106","39850,25631","31786,7539","55153,52539","35621,82417","32323,82045","38429,36641"
P13663,"501101,811","488592,899","400383,9932","542847,1579","605541,4304","468802,6726","264277,7235","178367,8935","127654,6832","168450,0121","152532,7296","227316,661","176222,4106","127755,483","155986,8306"
P15454,"236270,7399","170602,136","154027,2738","213293,2848","217512,8056","198716,2294","137543,8889","78424,25232","48425,11214","84960,67418","59001,36862","96610,83981","111674,2065","67541,83108","91789,69744"
P15624,"177767,0044","161765,0885","133499,2572","179110,2047","187290,0279","149986,3298","93014,36298","71121,69668","54245,40873","69440,23507","57736,60455","78798,71358","63713,0625","46521,6487","55446,32387"
P15625,"125320,3841","96404,76829","82973,63928","126428,0408","137804,1734","115024,8087","83674,11058","50453,08744","36951,81504","52580,55629","49469,78255","69852,41157","53010,21382","36491,34786","46035,34253"
P15873,"95307,09119","86340,48602","70874,5809","93157,68691","108470,4087","69624,34561","47859,10439","32664,23947","23614,54682","30318,3813","21220,09221","26534,88672","34964,38047","21508,46232","29968,05224"
P17695,"489954,0542","412508,9724","339135,3157","486393,9468","523944,6533","414553,1729","368815,6655","217485,8816","155976,4011","247365,174","187394,5977","271476,5897","288170,2486","203784,7113","278923,6356"
P20459,"236461,3853","205442,0711","159625,2355","237331,0946","282832,1064","202043,5269","157120,1974","84279,92422","57874,26803","95181,61008","78181,80472","138554,5255","125237,555","96042,12412","138668,049"
P20606,"664731,8568","576014,0882","574211,1293","707623,8227","670530,8048","585926,7293","372424,7624","311414,3289","211441,8777","324264,52","315606,3169","424863,2763","356866,079","257776,7511","310244,4825"
P21965,"98266,89995","93500,64766","75817,11674","110728,524","130802,0448","94712,93692","35023,23538","31222,33431","27199,66517","43399,50062","37507,54586","56040,6661","76575,87859","45369,0808","55290,1362"
P22855,"211402,5495","197109,7669","155596,9526","220080,8957","254803,551","267388,8964","149898,457","105543,5354","64476,04595","232916,2323","218582,3549","320911,0687","410263,981","247073,2151","272937,0011"
P25349,"1032386,385","807326,5383","709116,3384","885155,6193","1068171,786","826815,7537","484952,2063","339031,181","297133,0263","427594,2048","315863,2775","407033,7992","330924,8469","229212,4935","329991,7959"
P25491,"490064,3482","423079,0771","344397,1015","514945,3841","647425,2892","413105,4884","210015,6787","155360,4918","79048,89363","156543,8369","145320,9177","206254,3734","174717,4268","128554,6316","153384,3314"
P27929,"43767,86976","40460,56983","33723,91285","44137,80765","51241,56837","42330,58792","20123,70772","26326,02551","28763,37392","29603,15495","28094,95976","36810,95385","25294,47227","25090,80161","31635,13354"
P29509,"158641,7343","110612,4391","103735,3296","147095,9286","182954,4885","147488,0301","101269,3049","49550,29545","29839,38545","56753,39617","47949,13551","74172,64061","64448,46826","42900,06272","64726,67927"
